ngo_name,darpan_id,state,district,sector,legal_form,year_of_reg,fcra_status,is_active,source,ngo_age_years,is_old_ngo,fcra_registered,sector_enc,legal_form_enc,state_enc
Lok Education Society,PU/2001/0001031,Punjab,Punjab District 3,Education,Section 8 Company,2001,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,1,3,0,7
Gram Education Samiti,PU/1992/0001032,Punjab,Punjab District 20,Education,Section 8 Company,1992,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,1,3,0,7
Manav Women Empowerment Charitable Trust,PU/2010/0001033,Punjab,Punjab District 8,Women Empowerment,Society,2010,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,0,10,1,7
Jeevan Rural Development Development Institute,PU/1994/0001034,Punjab,Punjab District 1,Rural Development,Trust,1994,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),31,1,0,7,2,7
Manav Education Trust,PU/2006/0001035,Punjab,Punjab District 5,Education,Section 8 Company,2006,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,1,3,0,7
Shiksha Women Empowerment Welfare Organization,PU/2009/0001036,Punjab,Punjab District 20,Women Empowerment,Trust,2009,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,1,10,2,7
Lok Women Empowerment Foundation,PU/1998/0001037,Punjab,Punjab District 9,Women Empowerment,Section 8 Company,1998,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,1,10,0,7
Swasthya Women Empowerment Society,PU/2011/0001038,Punjab,Punjab District 7,Women Empowerment,Trust,2011,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,0,10,2,7
Sahyog Women Empowerment Seva Sansthan,PU/2017/0001039,Punjab,Punjab District 9,Women Empowerment,Society,2017,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,1,10,1,7
Sewa Women Empowerment Society,PU/2017/0001040,Punjab,Punjab District 18,Women Empowerment,Society,2017,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,0,10,1,7
Shiksha Education Society,PU/1999/0001041,Punjab,Punjab District 14,Education,Trust,1999,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,0,3,2,7
Kalyan Education Charitable Trust,PU/2005/0001042,Punjab,Punjab District 4,Education,Trust,2005,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,1,3,2,7
Sarva Healthcare Samiti,PU/2001/0001043,Punjab,Punjab District 14,Healthcare,Society,2001,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,0,5,1,7
Sewa Healthcare Samiti,PU/1996/0001044,Punjab,Punjab District 13,Healthcare,Trust,1996,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,1,5,2,7
Jan Healthcare Welfare Organization,PU/2004/0001045,Punjab,Punjab District 8,Healthcare,Trust,2004,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,5,2,7
Bal Women Empowerment Samiti,PU/2007/0001046,Punjab,Punjab District 12,Women Empowerment,Trust,2007,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,0,10,2,7
Unnati Education Charitable Trust,PU/2006/0001047,Punjab,Punjab District 6,Education,Society,2006,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,0,3,1,7
Sahyog Education Foundation,PU/2010/0001048,Punjab,Punjab District 14,Education,Section 8 Company,2010,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,0,3,0,7
Lok Rural Development Trust,PU/1992/0001049,Punjab,Punjab District 14,Rural Development,Section 8 Company,1992,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,1,7,0,7
Sarva Environment Welfare Organization,HA/2011/0001050,Haryana,Haryana District 20,Environment,Trust,2011,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,1,4,2,3
Swasthya Environment Development Institute,HA/2015/0001051,Haryana,Haryana District 10,Environment,Section 8 Company,2015,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,0,4,0,3
Bal Healthcare Samiti,HA/2001/0001052,Haryana,Haryana District 20,Healthcare,Section 8 Company,2001,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,0,5,0,3
Unnati Environment Foundation,HA/2010/0001053,Haryana,Haryana District 15,Environment,Trust,2010,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,1,4,2,3
Bal Community Development Seva Sansthan,HA/2022/0001054,Haryana,Haryana District 20,Community Development,Section 8 Company,2022,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,1,0,0,3
Gram Community Development Development Institute,HA/1992/0001055,Haryana,Haryana District 8,Community Development,Society,1992,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,1,0,1,3
Samaj Healthcare Trust,HA/2002/0001056,Haryana,Haryana District 13,Healthcare,Trust,2002,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,0,5,2,3
Gram Education Society,HA/2004/0001057,Haryana,Haryana District 6,Education,Society,2004,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,3,1,3
Lok Education Seva Sansthan,HA/1997/0001058,Haryana,Haryana District 15,Education,Section 8 Company,1997,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,1,3,0,3
Nav Healthcare Charitable Trust,HA/2022/0001059,Haryana,Haryana District 14,Healthcare,Section 8 Company,2022,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,0,5,0,3
Sarva Community Development Seva Sansthan,HA/2018/0001060,Haryana,Haryana District 9,Community Development,Section 8 Company,2018,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,0,0,3
Sahyog Community Development Seva Sansthan,HA/2008/0001061,Haryana,Haryana District 8,Community Development,Trust,2008,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),17,1,0,0,2,3
Sewa Community Development Trust,HA/1999/0001062,Haryana,Haryana District 7,Community Development,Society,1999,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,1,0,1,3
Shakti Healthcare Charitable Trust,HA/2016/0001063,Haryana,Haryana District 13,Healthcare,Trust,2016,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,1,5,2,3
Manav Healthcare Foundation,HA/2012/0001064,Haryana,Haryana District 10,Healthcare,Trust,2012,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,1,5,2,3
Shakti Healthcare Welfare Organization,HA/2021/0001065,Haryana,Haryana District 1,Healthcare,Society,2021,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,1,5,1,3
Unnati Healthcare Society,HA/1991/0001066,Haryana,Haryana District 13,Healthcare,Society,1991,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,0,5,1,3
Asha Healthcare Trust,HA/2001/0001067,Haryana,Haryana District 2,Healthcare,Society,2001,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,0,5,1,3
Sewa Healthcare Welfare Organization,HA/2014/0001068,Haryana,Haryana District 9,Healthcare,Trust,2014,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,0,5,2,3
Shakti Education Development Institute,HA/1993/0001069,Haryana,Haryana District 12,Education,Trust,1993,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,1,3,2,3
Shiksha Education Foundation,HA/1991/0001070,Haryana,Haryana District 20,Education,Society,1991,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,1,3,1,3
Jeevan Education Seva Sansthan,HA/2019/0001071,Haryana,Haryana District 9,Education,Section 8 Company,2019,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,0,3,0,3
Nari Community Development Trust,HA/1991/0001072,Haryana,Haryana District 10,Community Development,Trust,1991,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,1,0,2,3
Unnati Community Development Samiti,HA/2005/0001073,Haryana,Haryana District 4,Community Development,Society,2005,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,0,1,3
Kalyan Education Trust,HA/2013/0001074,Haryana,Haryana District 3,Education,Trust,2013,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,3,2,3
Sewa Healthcare Foundation,HA/2013/0001075,Haryana,Haryana District 15,Healthcare,Trust,2013,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,1,5,2,3
Shakti Environment Society,HA/2020/0001076,Haryana,Haryana District 15,Environment,Section 8 Company,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,4,0,3
Manav Environment Development Institute,HA/1995/0001077,Haryana,Haryana District 9,Environment,Society,1995,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,4,1,3
Gram Healthcare Seva Sansthan,HA/2010/0001078,Haryana,Haryana District 6,Healthcare,Trust,2010,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,1,5,2,3
Vikas Environment Development Institute,HA/2007/0001079,Haryana,Haryana District 18,Environment,Trust,2007,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,0,4,2,3
Bal Community Development Trust,HA/2005/0001080,Haryana,Haryana District 16,Community Development,Section 8 Company,2005,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,0,0,3
Jan Education Seva Sansthan,HA/2015/0001081,Haryana,Haryana District 8,Education,Society,2015,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,1,3,1,3
Manav Healthcare Charitable Trust,HA/2017/0001082,Haryana,Haryana District 18,Healthcare,Section 8 Company,2017,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,0,5,0,3
Nav Environment Development Institute,HA/2002/0001083,Haryana,Haryana District 11,Environment,Trust,2002,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,1,4,2,3
Sarva Community Development Society,HA/2007/0001084,Haryana,Haryana District 19,Community Development,Society,2007,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,0,0,1,3
Lok Education Development Institute,HA/2013/0001085,Haryana,Haryana District 6,Education,Society,2013,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,1,3,1,3
Sarva Environment Society,HA/2008/0001086,Haryana,Haryana District 5,Environment,Society,2008,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),17,1,0,4,1,3
Jan Education Trust,HA/2020/0001087,Haryana,Haryana District 15,Education,Section 8 Company,2020,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,1,3,0,3
Pragati Healthcare Development Institute,HA/2015/0001088,Haryana,Haryana District 16,Healthcare,Society,2015,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,0,5,1,3
Pragati Community Development Society,HA/1995/0001089,Haryana,Haryana District 8,Community Development,Section 8 Company,1995,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,0,0,3
Shakti Healthcare Welfare Organization,HA/2009/0001090,Haryana,Haryana District 19,Healthcare,Trust,2009,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,0,5,2,3
Kalyan Education Foundation,HA/2006/0001091,Haryana,Haryana District 3,Education,Society,2006,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,0,3,1,3
Nari Community Development Trust,HA/2020/0001092,Haryana,Haryana District 10,Community Development,Society,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,0,1,3
Kalyan Healthcare Development Institute,HA/2006/0001093,Haryana,Haryana District 19,Healthcare,Society,2006,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,0,5,1,3
Bal Education Samiti,HA/1999/0001094,Haryana,Haryana District 9,Education,Section 8 Company,1999,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,1,3,0,3
Shiksha Community Development Foundation,HA/2008/0001095,Haryana,Haryana District 15,Community Development,Trust,2008,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),17,1,0,0,2,3
Kalyan Environment Samiti,HA/2018/0001096,Haryana,Haryana District 3,Environment,Section 8 Company,2018,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,4,0,3
Shakti Environment Charitable Trust,HA/1991/0001097,Haryana,Haryana District 9,Environment,Society,1991,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,1,4,1,3
Nari Healthcare Seva Sansthan,HA/2017/0001098,Haryana,Haryana District 16,Healthcare,Trust,2017,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,1,5,2,3
Jan Healthcare Charitable Trust,HA/1996/0001099,Haryana,Haryana District 6,Healthcare,Trust,1996,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,0,5,2,3
Jan Women Empowerment Development Institute,DE/1995/0001100,Delhi,Delhi District 11,Women Empowerment,Section 8 Company,1995,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,1,10,0,1
Swasthya Education Samiti,DE/2019/0001101,Delhi,Delhi District 14,Education,Section 8 Company,2019,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,0,3,0,1
Lok Women Empowerment Charitable Trust,DE/1993/0001102,Delhi,Delhi District 7,Women Empowerment,Section 8 Company,1993,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,10,0,1
Jeevan Women Empowerment Development Institute,DE/1991/0001103,Delhi,Delhi District 20,Women Empowerment,Section 8 Company,1991,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,0,10,0,1
Nari Education Development Institute,DE/2004/0001104,Delhi,Delhi District 4,Education,Section 8 Company,2004,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,3,0,1
Swasthya Women Empowerment Society,DE/2007/0001105,Delhi,Delhi District 14,Women Empowerment,Section 8 Company,2007,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,1,10,0,1
Jan Women Empowerment Welfare Organization,DE/2002/0001106,Delhi,Delhi District 20,Women Empowerment,Section 8 Company,2002,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,1,10,0,1
Jeevan Healthcare Trust,DE/2022/0001107,Delhi,Delhi District 9,Healthcare,Trust,2022,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,0,5,2,1
Kalyan Women Empowerment Development Institute,DE/2020/0001108,Delhi,Delhi District 12,Women Empowerment,Society,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,10,1,1
Sarva Women Empowerment Samiti,DE/2005/0001109,Delhi,Delhi District 19,Women Empowerment,Trust,2005,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,10,2,1
Shakti Healthcare Foundation,DE/2014/0001110,Delhi,Delhi District 13,Healthcare,Section 8 Company,2014,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,0,5,0,1
Jeevan Education Seva Sansthan,DE/2011/0001111,Delhi,Delhi District 4,Education,Society,2011,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,0,3,1,1
Nav Women Empowerment Trust,DE/2016/0001112,Delhi,Delhi District 5,Women Empowerment,Society,2016,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,10,1,1
Sahyog Women Empowerment Charitable Trust,DE/2011/0001113,Delhi,Delhi District 18,Women Empowerment,Section 8 Company,2011,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,1,10,0,1
Sewa Education Seva Sansthan,DE/2008/0001114,Delhi,Delhi District 8,Education,Section 8 Company,2008,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),17,1,1,3,0,1
Shakti Education Trust,DE/2009/0001115,Delhi,Delhi District 1,Education,Trust,2009,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,1,3,2,1
Pragati Healthcare Development Institute,DE/2005/0001116,Delhi,Delhi District 17,Healthcare,Trust,2005,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,5,2,1
Nari Legal Aid Society,DE/2014/0001117,Delhi,Delhi District 20,Legal Aid,Society,2014,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,0,6,1,1
Jan Legal Aid Society,DE/2019/0001118,Delhi,Delhi District 9,Legal Aid,Trust,2019,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,0,6,2,1
Nav Legal Aid Development Institute,DE/2012/0001119,Delhi,Delhi District 19,Legal Aid,Society,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,6,1,1
Shakti Women Empowerment Development Institute,DE/2014/0001120,Delhi,Delhi District 16,Women Empowerment,Trust,2014,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,1,10,2,1
Unnati Healthcare Charitable Trust,DE/2015/0001121,Delhi,Delhi District 9,Healthcare,Section 8 Company,2015,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,1,5,0,1
Pragati Healthcare Seva Sansthan,DE/2012/0001122,Delhi,Delhi District 8,Healthcare,Society,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,5,1,1
Samaj Legal Aid Development Institute,DE/1992/0001123,Delhi,Delhi District 10,Legal Aid,Section 8 Company,1992,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,1,6,0,1
Pragati Legal Aid Charitable Trust,DE/2010/0001124,Delhi,Delhi District 14,Legal Aid,Society,2010,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,0,6,1,1
Jeevan Healthcare Charitable Trust,DE/2020/0001125,Delhi,Delhi District 10,Healthcare,Society,2020,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,1,5,1,1
Sewa Women Empowerment Trust,DE/2004/0001126,Delhi,Delhi District 13,Women Empowerment,Society,2004,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,1,10,1,1
Sarva Education Charitable Trust,DE/1997/0001127,Delhi,Delhi District 15,Education,Trust,1997,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,1,3,2,1
Sahyog Healthcare Samiti,DE/2020/0001128,Delhi,Delhi District 1,Healthcare,Society,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,5,1,1
Sarva Legal Aid Charitable Trust,DE/2019/0001129,Delhi,Delhi District 10,Legal Aid,Section 8 Company,2019,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,1,6,0,1
Swasthya Education Society,DE/2021/0001130,Delhi,Delhi District 4,Education,Society,2021,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,0,3,1,1
Sarva Women Empowerment Society,DE/2016/0001131,Delhi,Delhi District 19,Women Empowerment,Trust,2016,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,10,2,1
Jeevan Education Samiti,DE/2007/0001132,Delhi,Delhi District 2,Education,Trust,2007,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,0,3,2,1
Bal Women Empowerment Seva Sansthan,DE/1996/0001133,Delhi,Delhi District 12,Women Empowerment,Society,1996,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,0,10,1,1
Vikas Women Empowerment Foundation,DE/1997/0001134,Delhi,Delhi District 15,Women Empowerment,Trust,1997,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,1,10,2,1
Bal Education Foundation,DE/1998/0001135,Delhi,Delhi District 19,Education,Trust,1998,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,1,3,2,1
Sarva Legal Aid Welfare Organization,DE/1999/0001136,Delhi,Delhi District 20,Legal Aid,Society,1999,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,0,6,1,1
Jeevan Healthcare Society,DE/1991/0001137,Delhi,Delhi District 5,Healthcare,Society,1991,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,1,5,1,1
Gram Education Charitable Trust,DE/1998/0001138,Delhi,Delhi District 14,Education,Society,1998,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,1,3,1,1
Shiksha Women Empowerment Seva Sansthan,DE/1996/0001139,Delhi,Delhi District 15,Women Empowerment,Trust,1996,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,0,10,2,1
Samaj Healthcare Foundation,DE/1991/0001140,Delhi,Delhi District 2,Healthcare,Trust,1991,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,0,5,2,1
Unnati Education Samiti,DE/2018/0001141,Delhi,Delhi District 3,Education,Trust,2018,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,3,2,1
Sewa Education Society,DE/2010/0001142,Delhi,Delhi District 13,Education,Society,2010,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,1,3,1,1
